"idPot";"numGen";"ecotypeID";"name";"watering"
1;6;9600;"IP-Vis-0";"WD"
2;22;9057;"Vinslöv";"WD"
3;18;6915;"Ei-2";"WD"
4;27;6009;"Eden-1";"WW"
5;19;6898;"An-1";"WD"
6;8;8357;"Pla-0";"WW"
7;9;6970;"Ts-1";"WW"
8;26;8376;"Sanna-2";"WW"
9;18;6915;"Ei-2";"WW"
10;18;6915;"Ei-2";"WW"
11;15;7213;"Ler-0";"WD"
12;24;9470;"Tur-4";"WW"
13;23;6074;"Ör-1";"WW"
14;5;9943;"Cdm-0";"WW"
15;3;9507;"IP-Coa-0";"WW"
16;29;6184;"TBÖ 01";"WW"
17;30;6244;"TRÄ 01";"WD"
18;10;9549;"IP-Hum-2";"WD"
19;9;6970;"Ts-1";"WW"
20;7;9947;"Ped-0";"WW"
21;1;6911;"Cvi-0";"WD"
22;28;6209;"TEDEN 02";"WW"
23;29;6184;"TBÖ 01";"WD"
24;23;6074;"Ör-1";"WD"
25;10;9549;"IP-Hum-2";"WD"
26;6;9600;"IP-Vis-0";"WD"
27;1;6911;"Cvi-0";"WD"
28;22;9057;"Vinslöv";"WW"
29;13;7298;"Pi-0";"WW"
30;14;8311;"In-0";"WD"
31;11;6897;"Ag-0";"WD"
32;7;9947;"Ped-0";"WD"
33;29;6184;"TBÖ 01";"WW"
34;25;6177;"TÄL 03";"WD"
35;4;9544;"IP-Gua-1";"WD"
36;9;6970;"Ts-1";"WW"
37;30;6244;"TRÄ 01";"WW"
38;10;9549;"IP-Hum-2";"WD"
39;7;9947;"Ped-0";"WD"
40;27;6009;"Eden-1";"WW"
41;2;9537;"IP-Cum-1";"WD"
42;23;6074;"Ör-1";"WW"
43;5;9943;"Cdm-0";"WD"
44;8;8357;"Pla-0";"WW"
45;5;9943;"Cdm-0";"WD"
46;25;6177;"TÄL 03";"WD"
47;13;7298;"Pi-0";"WW"
48;27;6009;"Eden-1";"WW"
49;25;6177;"TÄL 03";"WW"
50;15;7213;"Ler-0";"WW"
51;6;9600;"IP-Vis-0";"WD"
52;4;9544;"IP-Gua-1";"WW"
53;10;9549;"IP-Hum-2";"WW"
54;1;6911;"Cvi-0";"WD"
55;27;6009;"Eden-1";"WW"
56;17;7092;"Com-1";"WD"
57;21;8240;"Kulturen-1";"WD"
58;9;6970;"Ts-1";"WD"
59;8;8357;"Pla-0";"WD"
60;28;6209;"TEDEN 02";"WD"
61;8;8357;"Pla-0";"WD"
62;17;7092;"Com-1";"WW"
63;3;9507;"IP-Coa-0";"WD"
64;22;9057;"Vinslöv";"WD"
65;17;7092;"Com-1";"WW"
66;17;7092;"Com-1";"WW"
67;25;6177;"TÄL 03";"WD"
68;28;6209;"TEDEN 02";"WW"
69;27;6009;"Eden-1";"WD"
70;1;6911;"Cvi-0";"WW"
71;1;6911;"Cvi-0";"WW"
72;7;9947;"Ped-0";"WD"
73;6;9600;"IP-Vis-0";"WW"
74;11;6897;"Ag-0";"WW"
75;9;6970;"Ts-1";"WW"
76;10;9549;"IP-Hum-2";"WD"
77;13;7298;"Pi-0";"WD"
78;23;6074;"Ör-1";"WD"
79;11;6897;"Ag-0";"WW"
80;25;6177;"TÄL 03";"WD"
81;23;6074;"Ör-1";"WW"
82;30;6244;"TRÄ 01";"WD"
83;17;7092;"Com-1";"WD"
84;24;9470;"Tur-4";"WD"
85;12;6958;"Ra-0";"WW"
86;14;8311;"In-0";"WD"
87;2;9537;"IP-Cum-1";"WD"
88;29;6184;"TBÖ 01";"WW"
89;11;6897;"Ag-0";"WD"
90;25;6177;"TÄL 03";"WW"
91;27;6009;"Eden-1";"WW"
92;22;9057;"Vinslöv";"WD"
93;13;7298;"Pi-0";"WD"
94;4;9544;"IP-Gua-1";"WD"
95;25;6177;"TÄL 03";"WD"
96;21;8240;"Kulturen-1";"WD"
97;11;6897;"Ag-0";"WD"
98;12;6958;"Ra-0";"WD"
99;3;9507;"IP-Coa-0";"WW"
100;12;6958;"Ra-0";"WD"
101;19;6898;"An-1";"WW"
102;3;9507;"IP-Coa-0";"WW"
103;8;8357;"Pla-0";"WD"
104;28;6209;"TEDEN 02";"WW"
105;21;8240;"Kulturen-1";"WW"
106;30;6244;"TRÄ 01";"WD"
107;24;9470;"Tur-4";"WD"
108;3;9507;"IP-Coa-0";"WW"
109;15;7213;"Ler-0";"WW"
110;16;6959;"Rennes-1";"WW"
111;29;6184;"TBÖ 01";"WD"
112;4;9544;"IP-Gua-1";"WW"
113;23;6074;"Ör-1";"WW"
114;28;6209;"TEDEN 02";"WW"
115;10;9549;"IP-Hum-2";"WD"
116;28;6209;"TEDEN 02";"WD"
117;27;6009;"Eden-1";"WW"
118;3;9507;"IP-Coa-0";"WD"
119;18;6915;"Ei-2";"WD"
120;23;6074;"Ör-1";"WD"
121;4;9544;"IP-Gua-1";"WW"
122;3;9507;"IP-Coa-0";"WD"
123;14;8311;"In-0";"WW"
124;7;9947;"Ped-0";"WD"
125;26;8376;"Sanna-2";"WW"
126;16;6959;"Rennes-1";"WD"
127;18;6915;"Ei-2";"WW"
128;27;6009;"Eden-1";"WW"
129;4;9544;"IP-Gua-1";"WW"
130;14;8311;"In-0";"WD"
131;15;7213;"Ler-0";"WW"
