idPotManip;idGenotype;period;numberPot;duration;mean;min;max
C3M42-31;Ag-0(FV);1;2;0;135.5;135.5;135.5
C3M42-31;Ag-0(FV);2;1;21.8;113.41;67.82;130.01
C3M42-31;Ag-0(FV);3;2;32.5;107.74;52.19;137.42
C3M42-74;Ag-0(FV);1;2;0;149.44;149.44;149.44
C3M42-74;Ag-0(FV);2;1;16.8;122.19;112.45;141.43
C3M42-74;Ag-0(FV);3;2;37.9;131.41;101.19;137.49
C3M42-79;Ag-0(FV);1;2;0;149.38;149.38;149.38
C3M42-79;Ag-0(FV);2;1;15.8;121.99;111.86;141.57
C3M42-79;Ag-0(FV);3;2;48.4;131.63;110.74;137.41
C3M42-89;Ag-0(FV);1;2;0;152.9;152.9;152.9
C3M42-89;Ag-0(FV);2;1;20.7;116.06;71.77;146.18
C3M42-89;Ag-0(FV);3;2;43.5;115.81;47.97;137.38
C3M42-97;Ag-0(FV);1;2;0;144.5;144.5;144.5
C3M42-97;Ag-0(FV);2;1;20.7;115.15;71.95;138.17
C3M42-97;Ag-0(FV);3;2;29.4;107.17;47.82;137.39
C3M42-158;Ag-0(FV);1;2;0;149.4;149.4;149.4
C3M42-158;Ag-0(FV);2;1;15.7;123.69;114.72;144.28
C3M42-158;Ag-0(FV);3;2;47.5;133.62;107.93;137.46
C3M42-163;Ag-0(FV);1;2;0;154.95;154.95;154.95
C3M42-163;Ag-0(FV);2;1;15.8;124.56;113.5;148.28
C3M42-163;Ag-0(FV);3;2;48.4;130.91;98.21;137.42
C3M42-220;Ag-0(FV);1;2;0;140.11;140.11;140.11
C3M42-220;Ag-0(FV);2;1;16.9;121.28;113.32;133.1
C3M42-220;Ag-0(FV);3;2;37.8;131.39;102.17;137.33
C3M42-243;Ag-0(FV);1;2;0;145.06;145.06;145.06
C3M42-243;Ag-0(FV);2;1;16.9;122.14;113.57;139.13
C3M42-243;Ag-0(FV);3;2;37.8;131.52;112.84;137.3
C3M42-249;Ag-0(FV);1;2;0;153.89;153.89;153.89
C3M42-249;Ag-0(FV);2;1;21.8;115.56;67.98;146.25
C3M42-249;Ag-0(FV);3;2;32.6;109.02;53.38;137.49
C3M42-287;Ag-0(FV);1;2;0;137.83;137.83;137.83
C3M42-287;Ag-0(FV);2;1;20.8;114.34;70.66;132.87
C3M42-287;Ag-0(FV);3;2;44.4;117.51;65.59;137.33
C3M42-293;Ag-0(FV);1;2;0;137.72;137.72;137.72
C3M42-293;Ag-0(FV);2;1;20.7;114.94;71.11;134.68
C3M42-293;Ag-0(FV);3;2;44.5;116.25;46.77;137.34
C3M42-299;Ag-0(FV);1;2;0;136.59;136.59;136.59
C3M42-299;Ag-0(FV);2;1;20.7;113.58;69.34;130.01
C3M42-299;Ag-0(FV);3;2;44.5;117.09;66.43;137.31
C3M42-319;Ag-0(FV);1;2;0;131.94;131.94;131.94
C3M42-319;Ag-0(FV);2;1;22.7;114.41;71.96;130
C3M42-319;Ag-0(FV);3;2;32.5;108.38;66.78;137.26
C3M42-422;Ag-0(FV);1;2;0;147.96;147.96;147.96
C3M42-422;Ag-0(FV);2;1;15.7;129.29;116.28;146.8
C3M42-422;Ag-0(FV);3;2;49.5;132.46;107.78;137.25
C3M42-425;Ag-0(FV);1;2;0;143.07;143.07;143.07
C3M42-425;Ag-0(FV);2;1;16.9;136.22;115.94;151.44
